COLG墓园名人堂

被禁言堂
以下用户用时间以及生命完美诠释了作死的真谛
Rawingkill: 共被禁言15次, 总时长49天. 未被西去.
深红丶: 共被禁言11次, 总时长47天. 未被西去.
colg第一柔道: 共被禁言11次, 总时长78天. 未被西去.
水銀燈っ: 共被禁言11次, 总时长90天. 未被西去.
刁暴: 共被禁言9次, 总时长55天. 未被西去.
w5303263: 共被禁言9次, 总时长67天. 未被西去.
athenaElainer: 共被禁言9次, 总时长27天. 未被西去.
冰冠堡垒: 共被禁言9次, 总时长58天. 未被西去.
静静。: 共被禁言8次, 总时长28天. 未被西去.
雨纷纷: 共被禁言8次, 总时长24天. 未被西去.
waterzuihou: 共被禁言8次, 总时长24天. 未被西去.
7535753: 共被禁言8次, 总时长28天. 未被西去.
鸟叔: 共被禁言8次, 总时长42天. 未被西去.
十七丶凛時雨_: 共被禁言8次, 总时长36天. 未被西去.
养猪战士: 共被禁言7次, 总时长29天. 未被西去.
圈圈丶你个叉叉: 共被禁言7次, 总时长58天. 未被西去.
luyukie: 共被禁言7次, 总时长21天. 未被西去.
养猪不打团: 共被禁言7次, 总时长22天. 未被西去.
ggzhaoxiang1: 共被禁言7次, 总时长31天. 未被西去.
dotaJUGG: 共被禁言7次, 总时长20天. 未被西去.
悠哉日常大王: 共被禁言7次, 总时长21天. 未被西去.
diaonilaomu.: 共被禁言7次, 总时长48天. 未被西去.
ggzhaoxiang2: 共被禁言7次, 总时长29天. 未被西去.
№_ISULE_: 共被禁言6次, 总时长18天. 未被西去.
hfdhuf: 共被禁言6次, 总时长21天. 未被西去.
夜舞の苍祭: 共被禁言6次, 总时长18天. 未被西去.
shelter_zach: 共被禁言6次, 总时长22天. 未被西去.
烙心: 共被禁言6次, 总时长25天. 未被西去.
知世: 共被禁言6次, 总时长40天. 未被西去.
维克多: 共被禁言6次, 总时长30天. 已被西去.
念の花: 共被禁言6次, 总时长17天. 未被西去.
Esaka: 共被禁言5次, 总时长15天. 未被西去.
夜探黑森林: 共被禁言5次, 总时长20天. 未被西去.
Riven: 共被禁言5次, 总时长15天. 未被西去.
yi切从零开始: 共被禁言5次, 总时长19天. 未被西去.
妹妹的味道真棒: 共被禁言5次, 总时长15天. 未被西去.
lllllzs: 共被禁言5次, 总时长15天. 未被西去.
G.E.M: 共被禁言5次, 总时长19天. 已被西去.
萨满光: 共被禁言5次, 总时长18天. 未被西去.
zhrtiancai: 共被禁言5次, 总时长15天. 未被西去.
dwq13214: 共被禁言5次, 总时长21天. 未被西去.
没钱玩个姬吧: 共被禁言5次, 总时长19天. 未被西去.
: 共被禁言5次, 总时长21天. 已被西去.
冥曲之章: 共被禁言5次, 总时长15天. 未被西去.
dantexxx: 共被禁言5次, 总时长15天. 未被西去.
源源i: 共被禁言5次, 总时长19天. 未被西去.
490454494: 共被禁言4次, 总时长12天. 未被西去.
Ordo_Teutonicus: 共被禁言4次, 总时长15天. 未被西去.
fenda: 共被禁言4次, 总时长16天. 未被西去.
小黑不说话: 共被禁言4次, 总时长12天. 未被西去.
虾米酱: 共被禁言4次, 总时长16天. 未被西去.
Password: 共被禁言4次, 总时长16天. 未被西去.
89757H6: 共被禁言4次, 总时长15天. 未被西去.
kyikgkgf: 共被禁言4次, 总时长12天. 未被西去.
boomshaka: 共被禁言4次, 总时长12天. 未被西去.
东风夜放花千树: 共被禁言4次, 总时长16天. 未被西去.
围观群众1号: 共被禁言4次, 总时长24天. 未被西去.
wenwenjinjin: 共被禁言4次, 总时长12天. 未被西去.
秦天凌: 共被禁言4次, 总时长12天. 未被西去.
caonenxianiang: 共被禁言4次, 总时长12天. 未被西去.
呵呵丶呵呵: 共被禁言4次, 总时长12天. 未被西去.
三爷威武霸气: 共被禁言4次, 总时长20天. 未被西去.
伯母: 共被禁言4次, 总时长9天. 未被西去.
我是逗比我怕谁: 共被禁言4次, 总时长12天. 未被西去.
a35598581: 共被禁言4次, 总时长9天. 未被西去.
yh56921303: 共被禁言4次, 总时长12天. 未被西去.
我歌月徘徊: 共被禁言4次, 总时长12天. 未被西去.
豆豆有糖: 共被禁言4次, 总时长12天. 未被西去.
ceric: 共被禁言4次, 总时长10天. 未被西去.
巫净琥珀: 共被禁言4次, 总时长19天. 未被西去.
幽魂白强无敌: 共被禁言4次, 总时长43天. 未被西去.
安逸叔: 共被禁言4次, 总时长14天. 未被西去.
公子乱云: 共被禁言4次, 总时长9天. 未被西去.
damncat1: 共被禁言4次, 总时长16天. 未被西去.
949779/9: 共被禁言4次, 总时长16天. 未被西去.
风满长空: 共被禁言4次, 总时长10天. 未被西去.
猪血爸爸: 共被禁言4次, 总时长14天. 未被西去.
Akasha丶: 共被禁言4次, 总时长12天. 未被西去.
q32884737: 共被禁言4次, 总时长10天. 未被西去.
阿什顿112: 共被禁言4次, 总时长12天. 未被西去.
裂界武帝: 共被禁言4次, 总时长12天. 未被西去.
我就是来卖萌的: 共被禁言4次, 总时长12天. 未被西去.
啊拉啊拉: 共被禁言4次, 总时长16天. 未被西去.
colg第一柔道 : 共被禁言4次, 总时长10天. 未被西去.
bbmmweiwei: 共被禁言4次, 总时长15天. 未被西去.
万事屋銀ちゃん: 共被禁言4次, 总时长23天. 未被西去.
CSJ上善若水: 共被禁言4次, 总时长12天. 未被西去.
xiaoluoss: 共被禁言4次, 总时长16天. 未被西去.
一库哟: 共被禁言4次, 总时长12天. 未被西去.
工头: 共被禁言4次, 总时长4天. 未被西去.
sicforme: 共被禁言4次, 总时长16天. 未被西去.
waterzuihou : 共被禁言4次, 总时长21天. 未被西去.
抠鼻大蛋: 共被禁言4次, 总时长12天. 未被西去.
楚丶天歌: 共被禁言4次, 总时长23天. 未被西去.
